,file,filesize,SIMPLE,BITPIX,NAXIS,NAXIS1,NAXIS2,EXTEND,BZERO,IMAGETYP,EXPOSURE,EXPTIME,DATE-LOC,DATE-OBS,XBINNING,YBINNING,EGAIN,XPIXSZ,YPIXSZ,INSTRUME,SET-TEMP,CCD-TEMP,TELESCOP,FOCALLEN,FOCRATIO,OBJECT,OBJCTRA,OBJCTDEC,OBJCTROT,ROWORDER,EQUINOX,SWCREATE,NOTES
0,R:\CCD_obs\RnE_2022\RiLA600_STX-16803_2bin\KLEOPATRA_Light_-_2022-10-23_-_RiLA600_STX-16803_-_2bin\-_Bias_-_2022-11-15-12-01-37_000sec_RiLA600_STX-16803_-19C_2bin.fit,8392320,True,16,2,2048,2048,True,32768.0,BIAS,0.01,0.01,2022-11-15T21:01:37.853,2022-11-15T12:01:37.853,2,2,0.0,18.0,18.0,SBIG STX-16803 3 CCD,-20.0,-19.9375,RiLA600,3000.0,5.0,BiasDark,00 00 00,+00 00 00,0.0,TOP-DOWN,2000.0,N.I.N.A. 2.0.2.2017,modified by guitar79@naver.com
1,R:\CCD_obs\RnE_2022\RiLA600_STX-16803_2bin\KLEOPATRA_Light_-_2022-10-23_-_RiLA600_STX-16803_-_2bin\-_Bias_-_2022-11-15-12-01-44_000sec_RiLA600_STX-16803_-20C_2bin.fit,8392320,True,16,2,2048,2048,True,32768.0,BIAS,0.01,0.01,2022-11-15T21:01:44.161,2022-11-15T12:01:44.161,2,2,0.0,18.0,18.0,SBIG STX-16803 3 CCD,-20.0,-20.0,RiLA600,3000.0,5.0,BiasDark,00 00 00,+00 00 00,0.0,TOP-DOWN,2000.0,N.I.N.A. 2.0.2.2017,modified by guitar79@naver.com
2,R:\CCD_obs\RnE_2022\RiLA600_STX-16803_2bin\KLEOPATRA_Light_-_2022-10-23_-_RiLA600_STX-16803_-_2bin\-_Bias_-_2022-11-15-12-01-50_000sec_RiLA600_STX-16803_-20C_2bin.fit,8392320,True,16,2,2048,2048,True,32768.0,BIAS,0.01,0.01,2022-11-15T21:01:50.471,2022-11-15T12:01:50.471,2,2,0.0,18.0,18.0,SBIG STX-16803 3 CCD,-20.0,-20.0625,RiLA600,3000.0,5.0,BiasDark,00 00 00,+00 00 00,0.0,TOP-DOWN,2000.0,N.I.N.A. 2.0.2.2017,modified by guitar79@naver.com
3,R:\CCD_obs\RnE_2022\RiLA600_STX-16803_2bin\KLEOPATRA_Light_-_2022-10-23_-_RiLA600_STX-16803_-_2bin\-_Bias_-_2022-11-15-12-01-56_000sec_RiLA600_STX-16803_-20C_2bin.fit,8392320,True,16,2,2048,2048,True,32768.0,BIAS,0.01,0.01,2022-11-15T21:01:56.801,2022-11-15T12:01:56.801,2,2,0.0,18.0,18.0,SBIG STX-16803 3 CCD,-20.0,-20.03125,RiLA600,3000.0,5.0,BiasDark,00 00 00,+00 00 00,0.0,TOP-DOWN,2000.0,N.I.N.A. 2.0.2.2017,modified by guitar79@naver.com
4,R:\CCD_obs\RnE_2022\RiLA600_STX-16803_2bin\KLEOPATRA_Light_-_2022-10-23_-_RiLA600_STX-16803_-_2bin\-_Bias_-_2022-11-15-12-02-03_000sec_RiLA600_STX-16803_-20C_2bin.fit,8392320,True,16,2,2048,2048,True,32768.0,BIAS,0.01,0.01,2022-11-15T21:02:03.122,2022-11-15T12:02:03.122,2,2,0.0,18.0,18.0,SBIG STX-16803 3 CCD,-20.0,-20.0625,RiLA600,3000.0,5.0,BiasDark,00 00 00,+00 00 00,0.0,TOP-DOWN,2000.0,N.I.N.A. 2.0.2.2017,modified by guitar79@naver.com
5,R:\CCD_obs\RnE_2022\RiLA600_STX-16803_2bin\KLEOPATRA_Light_-_2022-10-23_-_RiLA600_STX-16803_-_2bin\-_Bias_-_2022-11-15-12-02-09_000sec_RiLA600_STX-16803_-20C_2bin.fit,8392320,True,16,2,2048,2048,True,32768.0,BIAS,0.01,0.01,2022-11-15T21:02:09.442,2022-11-15T12:02:09.442,2,2,0.0,18.0,18.0,SBIG STX-16803 3 CCD,-20.0,-20.03125,RiLA600,3000.0,5.0,BiasDark,00 00 00,+00 00 00,0.0,TOP-DOWN,2000.0,N.I.N.A. 2.0.2.2017,modified by guitar79@naver.com
6,R:\CCD_obs\RnE_2022\RiLA600_STX-16803_2bin\KLEOPATRA_Light_-_2022-10-23_-_RiLA600_STX-16803_-_2bin\-_Bias_-_2022-11-15-12-02-15_000sec_RiLA600_STX-16803_-20C_2bin.fit,8392320,True,16,2,2048,2048,True,32768.0,BIAS,0.01,0.01,2022-11-15T21:02:15.832,2022-11-15T12:02:15.832,2,2,0.0,18.0,18.0,SBIG STX-16803 3 CCD,-20.0,-20.03125,RiLA600,3000.0,5.0,BiasDark,00 00 00,+00 00 00,0.0,TOP-DOWN,2000.0,N.I.N.A. 2.0.2.2017,modified by guitar79@naver.com
7,R:\CCD_obs\RnE_2022\RiLA600_STX-16803_2bin\KLEOPATRA_Light_-_2022-10-23_-_RiLA600_STX-16803_-_2bin\-_Bias_-_2022-11-15-12-02-22_000sec_RiLA600_STX-16803_-20C_2bin.fit,8392320,True,16,2,2048,2048,True,32768.0,BIAS,0.01,0.01,2022-11-15T21:02:22.162,2022-11-15T12:02:22.162,2,2,0.0,18.0,18.0,SBIG STX-16803 3 CCD,-20.0,-20.03125,RiLA600,3000.0,5.0,BiasDark,00 00 00,+00 00 00,0.0,TOP-DOWN,2000.0,N.I.N.A. 2.0.2.2017,modified by guitar79@naver.com
8,R:\CCD_obs\RnE_2022\RiLA600_STX-16803_2bin\KLEOPATRA_Light_-_2022-10-23_-_RiLA600_STX-16803_-_2bin\-_Bias_-_2022-11-15-12-02-28_000sec_RiLA600_STX-16803_-20C_2bin.fit,8392320,True,16,2,2048,2048,True,32768.0,BIAS,0.01,0.01,2022-11-15T21:02:28.473,2022-11-15T12:02:28.473,2,2,0.0,18.0,18.0,SBIG STX-16803 3 CCD,-20.0,-20.03125,RiLA600,3000.0,5.0,BiasDark,00 00 00,+00 00 00,0.0,TOP-DOWN,2000.0,N.I.N.A. 2.0.2.2017,modified by guitar79@naver.com
9,R:\CCD_obs\RnE_2022\RiLA600_STX-16803_2bin\KLEOPATRA_Light_-_2022-10-23_-_RiLA600_STX-16803_-_2bin\-_Bias_-_2022-11-15-12-02-34_000sec_RiLA600_STX-16803_-20C_2bin.fit,8392320,True,16,2,2048,2048,True,32768.0,BIAS,0.01,0.01,2022-11-15T21:02:34.812,2022-11-15T12:02:34.812,2,2,0.0,18.0,18.0,SBIG STX-16803 3 CCD,-20.0,-20.03125,RiLA600,3000.0,5.0,BiasDark,00 00 00,+00 00 00,0.0,TOP-DOWN,2000.0,N.I.N.A. 2.0.2.2017,modified by guitar79@naver.com
10,R:\CCD_obs\RnE_2022\RiLA600_STX-16803_2bin\KLEOPATRA_Light_-_2022-10-23_-_RiLA600_STX-16803_-_2bin\-_Bias_-_2022-11-15-12-02-41_000sec_RiLA600_STX-16803_-20C_2bin.fit,8392320,True,16,2,2048,2048,True,32768.0,BIAS,0.01,0.01,2022-11-15T21:02:41.159,2022-11-15T12:02:41.159,2,2,0.0,18.0,18.0,SBIG STX-16803 3 CCD,-20.0,-20.03125,RiLA600,3000.0,5.0,BiasDark,00 00 00,+00 00 00,0.0,TOP-DOWN,2000.0,N.I.N.A. 2.0.2.2017,modified by guitar79@naver.com
11,R:\CCD_obs\RnE_2022\RiLA600_STX-16803_2bin\KLEOPATRA_Light_-_2022-10-23_-_RiLA600_STX-16803_-_2bin\-_Bias_-_2022-11-15-12-02-47_000sec_RiLA600_STX-16803_-20C_2bin.fit,8392320,True,16,2,2048,2048,True,32768.0,BIAS,0.01,0.01,2022-11-15T21:02:47.474,2022-11-15T12:02:47.474,2,2,0.0,18.0,18.0,SBIG STX-16803 3 CCD,-20.0,-20.0,RiLA600,3000.0,5.0,BiasDark,00 00 00,+00 00 00,0.0,TOP-DOWN,2000.0,N.I.N.A. 2.0.2.2017,modified by guitar79@naver.com
12,R:\CCD_obs\RnE_2022\RiLA600_STX-16803_2bin\KLEOPATRA_Light_-_2022-10-23_-_RiLA600_STX-16803_-_2bin\-_Bias_-_2022-11-15-12-02-53_000sec_RiLA600_STX-16803_-20C_2bin.fit,8392320,True,16,2,2048,2048,True,32768.0,BIAS,0.01,0.01,2022-11-15T21:02:53.794,2022-11-15T12:02:53.794,2,2,0.0,18.0,18.0,SBIG STX-16803 3 CCD,-20.0,-20.03125,RiLA600,3000.0,5.0,BiasDark,00 00 00,+00 00 00,0.0,TOP-DOWN,2000.0,N.I.N.A. 2.0.2.2017,modified by guitar79@naver.com
13,R:\CCD_obs\RnE_2022\RiLA600_STX-16803_2bin\KLEOPATRA_Light_-_2022-10-23_-_RiLA600_STX-16803_-_2bin\-_Bias_-_2022-11-15-12-03-00_000sec_RiLA600_STX-16803_-20C_2bin.fit,8392320,True,16,2,2048,2048,True,32768.0,BIAS,0.01,0.01,2022-11-15T21:03:00.144,2022-11-15T12:03:00.144,2,2,0.0,18.0,18.0,SBIG STX-16803 3 CCD,-20.0,-20.03125,RiLA600,3000.0,5.0,BiasDark,00 00 00,+00 00 00,0.0,TOP-DOWN,2000.0,N.I.N.A. 2.0.2.2017,modified by guitar79@naver.com
14,R:\CCD_obs\RnE_2022\RiLA600_STX-16803_2bin\KLEOPATRA_Light_-_2022-10-23_-_RiLA600_STX-16803_-_2bin\-_Bias_-_2022-11-15-12-03-06_000sec_RiLA600_STX-16803_-20C_2bin.fit,8392320,True,16,2,2048,2048,True,32768.0,BIAS,0.01,0.01,2022-11-15T21:03:06.505,2022-11-15T12:03:06.505,2,2,0.0,18.0,18.0,SBIG STX-16803 3 CCD,-20.0,-20.0,RiLA600,3000.0,5.0,BiasDark,00 00 00,+00 00 00,0.0,TOP-DOWN,2000.0,N.I.N.A. 2.0.2.2017,modified by guitar79@naver.com
15,R:\CCD_obs\RnE_2022\RiLA600_STX-16803_2bin\KLEOPATRA_Light_-_2022-10-23_-_RiLA600_STX-16803_-_2bin\-_Bias_-_2022-11-15-12-03-12_000sec_RiLA600_STX-16803_-20C_2bin.fit,8392320,True,16,2,2048,2048,True,32768.0,BIAS,0.01,0.01,2022-11-15T21:03:12.813,2022-11-15T12:03:12.813,2,2,0.0,18.0,18.0,SBIG STX-16803 3 CCD,-20.0,-20.03125,RiLA600,3000.0,5.0,BiasDark,00 00 00,+00 00 00,0.0,TOP-DOWN,2000.0,N.I.N.A. 2.0.2.2017,modified by guitar79@naver.com
16,R:\CCD_obs\RnE_2022\RiLA600_STX-16803_2bin\KLEOPATRA_Light_-_2022-10-23_-_RiLA600_STX-16803_-_2bin\-_Bias_-_2022-11-15-12-03-19_000sec_RiLA600_STX-16803_-20C_2bin.fit,8392320,True,16,2,2048,2048,True,32768.0,BIAS,0.01,0.01,2022-11-15T21:03:19.143,2022-11-15T12:03:19.143,2,2,0.0,18.0,18.0,SBIG STX-16803 3 CCD,-20.0,-20.03125,RiLA600,3000.0,5.0,BiasDark,00 00 00,+00 00 00,0.0,TOP-DOWN,2000.0,N.I.N.A. 2.0.2.2017,modified by guitar79@naver.com
17,R:\CCD_obs\RnE_2022\RiLA600_STX-16803_2bin\KLEOPATRA_Light_-_2022-10-23_-_RiLA600_STX-16803_-_2bin\-_Bias_-_2022-11-15-12-03-25_000sec_RiLA600_STX-16803_-20C_2bin.fit,8392320,True,16,2,2048,2048,True,32768.0,BIAS,0.01,0.01,2022-11-15T21:03:25.473,2022-11-15T12:03:25.473,2,2,0.0,18.0,18.0,SBIG STX-16803 3 CCD,-20.0,-20.03125,RiLA600,3000.0,5.0,BiasDark,00 00 00,+00 00 00,0.0,TOP-DOWN,2000.0,N.I.N.A. 2.0.2.2017,modified by guitar79@naver.com
18,R:\CCD_obs\RnE_2022\RiLA600_STX-16803_2bin\KLEOPATRA_Light_-_2022-10-23_-_RiLA600_STX-16803_-_2bin\-_Bias_-_2022-11-15-12-03-31_000sec_RiLA600_STX-16803_-20C_2bin.fit,8392320,True,16,2,2048,2048,True,32768.0,BIAS,0.01,0.01,2022-11-15T21:03:31.794,2022-11-15T12:03:31.794,2,2,0.0,18.0,18.0,SBIG STX-16803 3 CCD,-20.0,-20.03125,RiLA600,3000.0,5.0,BiasDark,00 00 00,+00 00 00,0.0,TOP-DOWN,2000.0,N.I.N.A. 2.0.2.2017,modified by guitar79@naver.com
19,R:\CCD_obs\RnE_2022\RiLA600_STX-16803_2bin\KLEOPATRA_Light_-_2022-10-23_-_RiLA600_STX-16803_-_2bin\-_Bias_-_2022-11-15-12-03-38_000sec_RiLA600_STX-16803_-20C_2bin.fit,8392320,True,16,2,2048,2048,True,32768.0,BIAS,0.01,0.01,2022-11-15T21:03:38.124,2022-11-15T12:03:38.124,2,2,0.0,18.0,18.0,SBIG STX-16803 3 CCD,-20.0,-20.03125,RiLA600,3000.0,5.0,BiasDark,00 00 00,+00 00 00,0.0,TOP-DOWN,2000.0,N.I.N.A. 2.0.2.2017,modified by guitar79@naver.com
