,index,Designation,Full name,Rise time,Transit time,Set time,Max. time observable,R.A.,Dec.,Vmag,Helio. range (au),Topo.range (au),Object-Observer-Sun (deg),Object-Observer-Moon (deg),Galactic latitude (deg),OBSdate(UT)
1349,49,92,92 Undina (A867 NA),16:54,18:51,20:48,03:53,07:45:19,"+21 10'52""",12.3,3.34,2.61,130.69,46.61,20.69,20231128
1350,0,602,602 Marianna (A906 DJ),09:10*,10:31,11:52,02:06,23:27:59,"+13 22'12""",12.9,2.31,1.76,111.12,82.47,-44.71,20231129
1351,1,678,678 Fredegundis (A909 BQ),10:14,11:06,11:57,01:43,00:02:29,"+09 40'04""",12.8,2.01,1.35,117.97,76.51,-51.37,20231129
1352,2,639,639 Latona (A907 OA),10:22,12:10,13:57,03:34,01:06:44,"+18 42'53""",12.9,2.77,1.98,135.40,58.62,-44.16,20231129
1353,3,123,123 Brunhild (A872 OB),10:32,12:18,14:05,03:33,01:15:33,"+18 30'37""",12.8,2.41,1.59,137.40,56.75,-44.15,20231129
1354,4,135,135 Hertha (A874 DA),11:13,12:25,13:36,02:22,01:21:39,"+11 55'26""",11.8,2.22,1.39,137.10,57.97,-50.45,20231129
1355,5,122,122 Gerda (A872 OA),12:03,12:35,13:07,01:04,01:32:14,"+08 12'26""",12.9,3.25,2.45,138.22,57.26,-53.51,20231129
1356,6,127,127 Johanna (A872 VB),11:30,12:56,14:22,02:52,01:53:06,"+14 16'37""",12.8,2.72,1.85,145.11,50.02,-46.19,20231129
1357,7,509,509 Iolanda (A903 HD),12:05,12:59,13:54,01:49,01:56:42,"+09 58'10""",12.8,2.80,1.93,144.47,51.08,-49.90,20231129
1358,8,21,21 Lutetia (A852 VA),12:17,13:18,14:18,02:01,02:14:55,"+10 35'44""",10.8,2.28,1.38,148.83,46.81,-47.43,20231129
1359,9,93,93 Minerva (A867 QA),11:25,13:31,15:36,04:11,02:27:56,"+24 02'33""",12.4,2.97,2.05,154.73,39.02,-34.02,20231129
1360,10,119,119 Althaea (A872 GA),12:34,13:34,14:34,02:00,02:31:19,"+10 35'20""",11.9,2.40,1.48,152.48,43.27,-45.44,20231129
1361,11,132,132 Aethra (A873 LA),11:15,13:42,16:08,04:52,02:39:03,"+33 26'16""",12.3,2.39,1.46,155.21,35.32,-24.50,20231129
1362,12,139,139 Juewa (A874 TA),11:41,14:03,16:25,04:44,03:00:11,"+30 54'44""",12.3,2.89,1.94,160.32,30.92,-24.57,20231129
1363,13,241,241 Germania (A884 RA),12:06,14:07,16:07,04:00,03:03:57,"+22 16'38""",12.0,2.89,1.93,163.03,31.49,-31.38,20231129
1364,14,409,409 Aspasia (A895 XC),12:15,14:07,15:58,03:42,03:03:56,"+19 37'57""",11.6,2.76,1.81,162.81,32.32,-33.55,20231129
1365,15,154,154 Bertha (A875 VD),11:53,14:09,16:26,04:32,03:06:51,"+28 00'58""",12.7,3.40,2.44,162.74,29.70,-26.25,20231129
1366,16,144,144 Vibilia (A875 LA),12:49,14:21,15:54,03:05,03:18:55,"+15 26'45""",10.7,2.16,1.19,165.02,30.76,-34.67,20231129
1367,17,895,895 Helio (A918 NA),11:57,14:28,16:58,05:01,03:25:01,"+36 25'56""",12.4,2.77,1.82,161.13,26.21,-17.13,20231129
1368,18,363,363 Padua (A893 FD),12:55,14:44,16:32,03:36,03:41:05,"+18 52'08""",12.6,2.64,1.66,171.21,24.50,-28.60,20231129
1369,19,481,481 Emita (A902 CB),13:01,14:44,16:28,03:27,03:41:39,"+17 47'47""",11.6,2.31,1.33,170.95,24.84,-29.29,20231129
1370,20,182,182 Elsa (A878 CC),13:07,14:46,16:25,03:18,03:43:37,"+16 48'51""",11.0,1.96,0.984,170.91,24.89,-29.67,20231129
1371,21,24,24 Themis (A853 GA),12:57,14:51,16:45,03:48,03:48:39,"+20 29'07""",11.5,3.06,2.08,173.32,22.22,-26.20,20231129
1372,22,70,70 Panopaea (A861 JA),12:48,14:57,17:06,04:18,03:54:06,"+25 11'34""",12.0,2.78,1.80,173.47,19.65,-21.91,20231129
1373,23,503,503 Evelyn (A903 BL),13:08,14:58,16:49,03:40,03:55:54,"+19 27'35""",12.2,2.37,1.38,174.71,21.08,-25.74,20231129
1374,24,113,113 Amalthea (A871 EA),13:43,15:04,16:25,02:41,04:01:37,"+13 19'25""",11.8,2.53,1.55,171.19,23.28,-28.94,20231129
1375,25,65,65 Cybele (A861 EB),13:32,15:07,16:42,03:10,04:04:54,"+15 55'57""",12.3,3.82,2.84,173.89,21.05,-26.61,20231129
1376,26,306,306 Unitas (A891 EA),14:30,15:16,16:02,01:31,04:13:30,"+09 09'17""",12.0,2.46,1.48,167.79,24.20,-29.38,20231129
1377,27,346,346 Hermentaria (A892 WC),13:48,15:16,16:44,02:55,04:13:41,"+14 32'33""",10.7,2.57,1.59,173.17,20.26,-25.93,20231129
1378,28,358,358 Apollonia (A893 EC),13:51,15:26,17:00,03:08,04:23:13,"+15 46'19""",12.2,2.44,1.46,174.25,17.73,-23.38,20231129
1379,29,347,347 Pariana (A892 WD),13:55,15:27,17:00,03:05,04:25:03,"+15 30'23""",12.6,2.67,1.69,173.87,17.60,-23.21,20231129
1380,30,95,95 Arethusa (A867 WA),13:37,15:30,17:23,03:46,04:27:40,"+20 09'17""",11.4,2.65,1.66,177.25,14.20,-19.76,20231129
1381,31,758,758 Mancunia (A912 KB),13:57,15:33,17:10,03:13,04:31:06,"+16 18'27""",12.1,2.72,1.74,173.97,16.00,-21.57,20231129
1382,32,480,480 Hansa (A901 KB),14:08,15:39,17:09,03:01,04:36:14,"+15 06'50""",11.6,2.53,1.55,172.29,16.07,-21.34,20231129
1383,33,317,317 Roxane (A891 RD),14:05,15:55,17:46,03:40,04:52:58,"+19 27'56""",12.5,2.28,1.30,171.37,10.18,-15.52,20231129
1384,34,160,160 Una (A876 DA),13:52,16:09,18:27,04:34,05:07:13,"+28 29'30""",12.6,2.55,1.58,166.57,3.347,-7.53,20231129
1385,35,498,498 Tokio (A902 XA),14:37,16:17,17:57,03:19,05:14:58,"+16 55'46""",12.4,2.56,1.60,165.63,10.47,-12.72,20231129
1386,36,210,210 Isabella (A879 VA),14:02,16:21,18:39,04:36,05:18:27,"+28 59'17""",12.6,2.42,1.45,164.15,1.813,-5.24,20231129
1387,37,389,389 Industria (A894 EE),14:05,16:23,18:41,04:35,05:20:44,"+28 51'57""",11.8,2.67,1.71,163.75,1.579,-4.90,20231129
1388,38,159,159 Aemilia (A876 BA),15:08,16:42,18:16,03:08,05:39:33,"+15 44'57""",12.5,2.83,1.88,159.68,12.29,-8.37,20231129
1389,39,149,149 Medusa (A875 SA),14:50,16:48,18:46,03:56,05:45:59,"+21 39'26""",13.0,2.05,1.09,159.32,7.943,-4.01,20231129
1390,40,407,407 Arachne (A895 TB),14:32,16:53,19:14,04:42,05:50:36,"+30 21'02""",12.8,2.53,1.59,157.15,7.095,1.37,20231129
1391,41,704,704 Interamnia (A910 TC),14:37,17:01,19:25,04:48,05:59:10,"+32 02'21""",10.6,2.81,1.88,154.88,9.479,3.80,20231129
1392,42,488,488 Kreusa (A902 MC),15:01,17:04,19:08,04:06,06:02:06,"+23 14'47""",12.4,2.99,2.06,155.65,10.05,0.01,20231129
1393,43,37,37 Fides (A855 TB),14:48,17:05,19:22,04:34,06:03:01,"+28 33'10""",10.2,2.18,1.25,154.97,9.285,2.80,20231129
1394,44,776,776 Berbericia (A914 BE),15:08,17:17,19:26,04:17,06:14:54,"+25 08'49""",11.5,2.62,1.70,152.71,12.19,3.48,20231129
1395,45,4,4 Vesta (A807 FA),15:33,17:24,19:15,03:42,06:21:39,"+19 36'54""",6.92,2.57,1.66,150.80,15.80,2.25,20231129
1396,46,9,9 Metis (A848 HA),15:19,17:29,19:39,04:20,06:27:17,"+25 34'54""",9.05,2.09,1.18,149.90,14.84,6.16,20231129
1397,47,48,48 Doris (A857 SA),16:17,17:41,19:04,02:46,06:38:41,"+13 47'47""",11.7,2.91,2.04,145.48,22.52,3.19,20231129
1398,48,5,5 Astraea (A845 XA),16:15,17:49,19:23,03:08,06:47:05,"+15 44'45""",10.3,2.24,1.37,144.08,22.98,5.88,20231129
1399,49,72,72 Feronia (A861 KA),16:40,18:11,19:42,03:01,07:09:11,"+15 07'19""",13.0,2.46,1.63,138.77,27.83,10.40,20231129
